WERKS	BLDAT	MENGE	MEINS	BKTXT	MATNR
IN01	20240115	500	L	Diesel Fuel IN01	DIESEL-01
IN01	12.02.2024	120	GAL	Diesel Fuel IN01	DIESEL-01
IN02	20240228	800	L	Diesel Fuel IN02	DIESEL-01
IN02	10.03.2024	150	GAL	Diesel Fuel IN02	DIESEL-01
IN01	20240315	5000	KG	Steel Coil Procurement	STEEL-COIL-1
IN01	20.04.2024	12000	G	Small steel parts	STEEL-02
IN02	20240415	3	T	Structural Steel plant construction	STEEL-01
IN01	20240505	10	M3	Natural Gas supply	NATGAS-01
IN02	12.05.2024	400	L	Petrol for generator	PETROL-01
IN01	20240601	1000	KWH	Diesel backup power	DIESEL-01
IN02	20240615	2.5	MWH	Co-generation gas power	NATGAS-02
IN01	20240710	500	PCS	Office Chairs	OFFICE-FURN
IN01	20240715	600	L	Kerosene storage	KEROSENE-01
IN02	20240820	50	GAL	LPG cylinder replenishment	LPG-02
IN01	20240825	2000	KG	Aluminum sheets	ALUM-01
IN02	20240905	500	KG	Plastic packaging film	PLAST-03
IN01	20240915	150	KG	Process chemicals	CHEM-01
IN01	20241005	800	KG	Recycled paper boxes	PAPER-02
IN02	20241020	1200	L	Diesel fuel bulk	DIESEL-02
IN01	20241101	2500	KG	Standard structural steel	STEEL-COIL-1
